"","grupoPol","fechaPresentacion","congreso","legislatura","codigo","proponente","grupoParlamentario","Titulo","sumilla","numeroLey","tituloLey","estadoFinal","estadoFinalFecha","comisiones","Lima","CantiCongre","CantiAdh","congresoRec","Semanas"
"11615","Alianza por el Futuro",2008-04-11,"Periodo de Gobierno 2006- 2011","Segunda Legislatura Ordinaria 2007",2325,"Congreso","Grupo Fujimorista","CODIGO:PENAL 310O/ILEGAL EXTRACCION DE LOS RECURSOS FORESTALES","Propone modificar el articulo 310º y adicionar los articulos 310º-A, 310º-B, 310º-C al Codigo Penal, referente a contrarrestrar las actuaciones de personas que se dedican a la ilegal extraccion de los recursos forestales.","Ley Nº: 29263","LEY QUE MODIFICA DIVERSOS ARTiCULOS DEL CoDIGO PENAL Y DE LA LEY GENERAL DEL AMBIENTE","Publicado El Peruano",2008-02-10,"Justicia y Derechos Humanos","SI",7,0,"2006-2011",-8.71428571428571
"11626","Partido Aprista Peruano",2008-04-09,"Periodo de Gobierno 2006- 2011","Segunda Legislatura Ordinaria 2007",2314,"Congreso","PARTIDO APRISTA PERUANO","CODIGO:PENAL 310O/TALA ILEGAL DE ESPECIES PROTEGIDAS","Propone modificar el articulo 310º del Codigo Penal, referente a la tala ilegal de especies protegidas.","Ley Nº: 29263","LEY QUE MODIFICA DIVERSOS ARTiCULOS DEL CoDIGO PENAL Y DE LA LEY GENERAL DEL AMBIENTE","Publicado El Peruano",2008-02-10,"Justicia y Derechos Humanos","NO",6,0,"2006-2011",-8.42857142857143
"11665","Multipartidario",2008-04-02,"Periodo de Gobierno 2006- 2011","Segunda Legislatura Ordinaria 2007",2275,"Congreso","Alianza Parlamentaria","CODIGO:PENAL 310O/DEPREDACION DE BOSQUES PROTEGIDOS","Propone modificar el articulo 310º del Codigo Penal, Depredacion de bosques protegidos.","Ley Nº: 29263","LEY QUE MODIFICA DIVERSOS ARTiCULOS DEL CoDIGO PENAL Y DE LA LEY GENERAL DEL AMBIENTE","Publicado El Peruano",2008-02-10,"Justicia y Derechos Humanos","SI",6,0,"2006-2011",-7.42857142857143
"11856","Unidad Nacional",2008-01-28,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",2084,"Congreso","Unidad Nacional","PATRIA:POTESTAD/PRECISA CASOS DE PERDIDA Y SUSPENSION DE...","Propone incorporar el articulo 5º a la Ley Nº 29194, Ley que precisa los casos de perdida de patria potestad.","Ley Nº: 29275","LEY QUE INCORPORA EL ARTiCULO 5º A LA LEY Nº 29194, LEY QUE PRECISA LOS CASOS DE PeRDIDA DE DOMINIO","Publicado El Peruano",2008-01-11,"Justicia y Derechos Humanos","SI",7,0,"2006-2011",-2.42857142857143
"11998","Partido Aprista Peruano",2007-12-05,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1942,"Congreso","PARTIDO APRISTA PERUANO","ELECCIONES:L.27764/CIERRE DE PADRON ELECTORAL","Propone modificar el articulo 1º de la Ley Nº 27764, Ley que permite la inscripcion de nuevos ciudadanos durante Procesos Electorales, referente a establecer que el padron electoral se cierra 365 dias antes de la fecha de las respectivas elecciones.","","","En comision",2007-11-12,"Constitucion y Reglamento","NO",8,0,"2006-2011",-3.28571428571429
"12001","Partido Aprista Peruano",2007-12-05,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1939,"Congreso","PARTIDO APRISTA PERUANO","TRANSPORTE:MERCANCIAS/RENOVACION DEL PARQUE VEHICULAR SERV.DE...","Propone regular el regimen especial para la reduccion gradual y renovacion del parque vehicular del servicio de transporte de mercancias.","","","En comision",2007-11-12,"Transportes y Comunicaciones","SI",10,0,"2006-2011",-3.28571428571429
"12007","Grupo Parlamentario Nacionalista",2007-12-05,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1933,"Congreso","Grupo Parlamentario Nacionalista","OBRAS PUBLICAS:CONTRATAR MANO DE OBRA LOCAL EN EJECUCION DE...","Propone disponer la contratacion de mano de obra local en la ejecucion de obras publicas.","","","En comision",2007-11-12,"Fiscalizacion y Contraloria","SI",8,0,"2006-2011",-3.28571428571429
"12012","Partido Aprista Peruano",2007-12-03,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1928,"Congreso","PARTIDO APRISTA PERUANO","CODIGO:PENAL 47O/COMPUTO DE LA DETENCION DOMICILIARIA","Propone modificar el articulo 47º del Codigo Penal, relacionado al computo de la detencion domiciliaria.","","","En comision",2007-11-12,"Justicia y Derechos Humanos","SI",7,0,"2006-2011",-3
"12013","",2007-11-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1927,"Poder Judicial","","PRESUPUESTO:L.28927/EXONERA AL PODER JUDICIAL DEL ART.4O LEY DE...","Propone exonerar del numeral 1) del articulo 4° de la Ley N° 28927, Ley del Presupuesto del Sector Publico para el Ejercicio Fiscal 2007 al Poder Judicial a efectos de que pueda habilitar el Grupo Generico de Gasto 1. “Personal y  Obligaciones Sociales” quedando autorizado a efectuar las transferencias de partidas presupuestales correspondientes, a fin de otorgar por unica vez la asignacion excepcional al personal auxiliar jurisdiccional y administrativo en actividad.","","","Orden del Dia",2007-06-12,"Presupuesto y Cuenta General de la Republica","",NA,0,"2006-2011",-24.2857142857143
"12014","Multipartidario",2007-11-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1926,"Congreso","Alianza Parlamentaria","TELECOMUNICACIONES:OSIPTEL/MODIFICA ART.DE LA LEY DE ..","Propone modificar los articulos 25 y 32 de la Ley N° 27336, Ley de Desarrollo de las Funciones y Facultades del Organismo Supervisor de Inversion Privada en Telecomunicaciones- OSIPTEL.","","","En comision",2007-06-12,"Defensa del Consumidor y Organismos Reguladores de los Servicios Publicos","SI",6,0,"2006-2011",-24.2857142857143
"12068","",2007-11-15,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1872,"Poder Ejecutivo","","TRABAJADORES:FERROCARRIL HUANCAYO-HUANCAVELICA/MODIFICA REM...","Propone exceptuar al Pliego:036 Ministerio de Transportes y Comunicaciones de la prohibicion dispuesta en la Ley Nº 28927, Ley del Presupuesto del Sector Publico para el Ano Fiscal 2007, a efectos  de modificar la politica remunerativa del personal que labora en el Ferrocarril Huancayo - Huancavelica.","Ley Nº: 29141","EXCEPTuA AL PLIEGO 036: MINISTERIO DE TRANSPORTES Y COMUNICACIONES DE LA PROHIBICIoN DISPUESTA EN LA LEY Nº 28927, LEY DEL PRESUPUESTO DEL SECTOR PuBLICO PARA EL AnO FISCAL 2007, A EFECTOS DE MODIFICAR LA POLiTICA REMUNERATIVA DEL PERSONAL QUE LABORA EN EL FERROCARRIL HUANCAYO-HUANCAVELICA","Publicado El Peruano",2007-02-12,"Presupuesto y Cuenta General de la Republica","",NA,0,"2006-2011",-39.4285714285714
"12083","Partido Aprista Peruano",2007-11-08,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1857,"Congreso","PARTIDO APRISTA PERUANO","SANEAMIENTO:FORTALECIMIENTO DE LA REGULACION EN EL SECTOR...","Propone Ley de Fortalecimiento de la Regulacion en el Sector Saneamiento.","","","En comision",2007-09-11,"Presupuesto y Cuenta General de la Republica,Vivienda y Construccion","SI",6,59,"2006-2011",-8.28571428571429
"12088","Partido Aprista Peruano",2007-11-08,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1852,"Congreso","PARTIDO APRISTA PERUANO","SANEAMIENTO:L.26338/INTERVENCION DE SUNASS EN SERVICIOS DE...","Propone incorporar el Titulo IX a la Ley Nº 26338, Ley General de Servicios de Saneamiento, referente a establecer el proceso de intervencion de SUNASS en caso de riesgos a la sostenibilidad en la prestacion de los servicios de saneamiento y por aspectos financieros.","","","En comision",2007-09-11,"Vivienda y Construccion","SI",6,0,"2006-2011",-8.28571428571429
"12101","Partido Aprista Peruano",2007-11-07,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1839,"Congreso","PARTIDO APRISTA PERUANO","EQUILIBRIO:FINANCIERO/DEROGAR LA 3RA. DISP.FINAL DE LA LEY DE...","Propone derogar la Tercera Disposicion Final de la Ley Nº 28929, Ley de Equilibrio Financiero del Presupuesto del Sector Publico para el Ano Fiscal 2007, que excluye a los Organismos Reguladores del Sistema Integrado de Administracion Financiera del Sector Publico (SIAF-SP).","","","En comision",2007-08-11,"Presupuesto y Cuenta General de la Republica","NO",6,0,"2006-2011",-12.5714285714286
"12112","Union por el Peru",2007-10-31,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1828,"Congreso","Grupo Parlamentario Nacionalista","DELITOS:INFORMATICOS/LEY QUE PENALIZA LOS...","Propone Ley que penaliza los delitos informaticos.","","","En comision",2007-09-11,"Justicia y Derechos Humanos","NO",6,0,"2006-2011",-7.14285714285714
"12123","Partido Aprista Peruano",2007-10-30,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1817,"Congreso","PARTIDO APRISTA PERUANO","REGL.CONGRESO:25O,81O/NATURALEZA DE LEY ORGANICA","Propone modificar los articulos 25º y el inciso b) del articulo 81º e incorporar el Capitulo VIII al Reglamento del Congreso, referente a reconocer que tiene una categoria de Ley Organica.","","","En comision",2007-07-11,"Constitucion y Reglamento","SI",6,0,"2006-2011",-15.8571428571429
"12130","",2007-10-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1810,"Poder Ejecutivo","","DOCENTES:UNIVERSITARIOS/DICTA MEDIDAS PARA INCREMENTOS DE LOS...","Propone dictar medidas para los incrementos de los Docentes Universitarios en el marco del Dec. Urg. Nº 033-2005, establece nuevo procedimiento de evaluacion de meritos y dicta otras medidas.","","","En comision",2007-07-11,"Presupuesto y Cuenta General de la Republica","",NA,0,"2006-2011",-15.7142857142857
"12133","Union por el Peru",2007-10-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1807,"Congreso","Grupo Parlamentario Especial","CODIGO:PROC.PENALES 222O,223O/SANEAMIENTO PROCESAL Y PROBATORIO","Propone incorporar los articulos 222º y 223º, modificar los articulos 83º, 244º, 246º y 251º y derogar los incisos 3 y 4 del articulo 285º-A al Codigo de Procedimientos Penales, asi como modificar los articulos 137º y 143º del Codigo Procesal Penal, referente a las medidas de coercion procesal.","","","En comision",2007-07-11,"Justicia y Derechos Humanos","NO",2,0,"2006-2011",-15.7142857142857
"12134","Multipartidario",2007-10-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1806,"Congreso","Multipartidario","CODIGO:PENAL 189O-A,189O-B,189O-C/DELITO DE ABIGEATO","Propone modificar los articulos 189º-A, 189º-B y 189º-C del Codigo Penal, Hurto de ganado; Hurto de uso de ganado; y, Robo de ganado, respectivamente.","","","En comision",2007-09-11,"Justicia y Derechos Humanos","SI",8,0,"2006-2011",-6.85714285714286
"12137","",2007-10-26,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1803,"Poder Ejecutivo","","VIAJE:PRESIDENCIAL/CIUDAD DE SANTIAGO - CHILE","Propone autorizar al senor Presidente de la Republica a salir del territorio nacional entre los dias 08 y 10 de noviembre del presente ano, con el objeto de participar en la XVII Cumbre Iberoamericana de Jefes de Estado y de Gobierno, a realizarse en la ciudad de Santiago, Republica de Chile, la cual tendra como tema central “La Cohesion social y politicas sociales para alcanzar sociedades mas inclusivas en Iberoamerica”.","Resolucion Legislativa Nº: 29126","RESOLUCIoN LEGISLATIVA QUE AUTORIZA AL SEnOR PRESIDENTE DE LA REPuBLICA A SALIR DEL TERRITORIO NACIONAL ENTRE LOS DiAS 8 Y 10 DE NOVIEMBRE DE 2007.","Publicado El Peruano",2007-01-11,"","",NA,0,"2006-2011",-41.1428571428571
"12139","Union por el Peru",2007-10-26,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1801,"Congreso","Grupo Parlamentario Especial","COGIGO:PENAL 80O/IMPRESCRIPTIBILIDAD DELITOS CORRUPCION FUNC.PUB.","Propone modificar el articulo 80º del Codigo Penal, Prescripcion de la accion penal - Plazos, referente a declarar la imprescriptibilidad de los delitos de corrupcion de funcionarios publicos.","","","En comision",2007-07-11,"Justicia y Derechos Humanos","SI",2,0,"2006-2011",-15.2857142857143
"12142","Alianza por el Futuro",2007-10-25,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1798,"Congreso","Grupo Fujimorista","CODIGO:PENAL 427O,428O/FALSIFICACION DE DOCUMENTOS","Propone modificar los articulos 427º y 428º del Codigo Penal, Falsificacion de documentos y Falsedad Ideologica, respectivamente.","","","En comision",2007-07-11,"Justicia y Derechos Humanos","SI",7,0,"2006-2011",-15.1428571428571
"12164","Union por el Peru",2007-10-24,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1776,"Congreso","Grupo Parlamentario Nacionalista","UNIVERSITARIA:L.23733/OTORGA BECAS A JOVENES EN POBREZA","Propone modificar el articulo 6º de la Ley Nº 23733, Ley Universitaria, referente a otorgar becas a jovenes en situacion de pobreza y extrema pobreza en universidades privadas.","","","En comision",2007-08-11,"Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes","NO",9,0,"2006-2011",-10.5714285714286
"12177","Grupo Parlamentario Nacionalista",2007-10-22,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1763,"Congreso","Grupo Parlamentario Nacionalista","PROFESORES:EDUCACION SUPERIOR NO UNIVERSITARIA/NOMBRAR A LOS...","Propone autorizar al Ministerio de Educacion, el nombramiento de los profesores de Educacion Superior No Universitaria que laboran en los Institutos y Escuelas Superiores Publicas.","","","En comision",2007-07-11,"Presupuesto y Cuenta General de la Republica,Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes","NO",6,0,"2006-2011",-14.7142857142857
"12188","",2007-10-18,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1752,"Poder Ejecutivo","","CONVENCION:DERECHOS DE LAS PERSONAS CON DISCAPACIDAD","Propone la “Convencion sobre los Derechos de las Personas con Discapacidad y su Protocolo Facultativo”.","Resolucion Legislativa Nº: 29127","RESOLUCIoN LEGISLATIVA QUE APRUEBA LA “CONVENCIoN SOBRE LOS DERECHOS DE LAS PERSONAS CON DISCAPACIDAD Y SU PROTOCOLO FACULTATIVO”.","Publicado El Peruano",2007-01-11,"Relaciones Exteriores","",NA,0,"2006-2011",-40
"12191","Grupo Parlamentario Nacionalista",2007-10-17,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1749,"Congreso","Grupo Parlamentario Nacionalista","DEFENSA CIVIL:CONCURSO PUB.DE MERITOS JEFES DE GOB.REGIONALES","Propone disponer que los Jefes de la Oficinas de Defensa Civil de los gobiernos regionales y locales sean designados mediante concurso publico de meritos.","","","Se inhibe",2007-07-11,"Justicia y Derechos Humanos,Trabajo","SI",7,0,"2006-2011",-14
"12211","",2007-10-16,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1729,"Contraloria General de la Republica","","CONTRALORIA:RESPONSAB.ADM.FUNCIONAL DE INFORMES EMITIDOS POR","Propone determinar la responsabilidad administrativa funcional proveniente de los informes emitidos por los organos del Sistema Nacional de Control.","","","Se inhibe",2007-07-11,"Justicia y Derechos Humanos,Fiscalizacion y Contraloria","",NA,0,"2006-2011",-13.8571428571429
"12213","Unidad Nacional",2007-10-15,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1727,"Congreso","Unidad Nacional","FACULTADES:DE DERECHO/CREA JUNTA NACIONAL DE DECANOS DE LAS...","Propone crear la Junta Nacional de Decanos de las Facultades de Derecho.","","","Archivo",2007-05-12,"Justicia y Derechos Humanos","SI",6,0,"2006-2011",-22.2857142857143
"12222","Multipartidario",2007-10-12,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1718,"Congreso","Multipartidario","CODIGO ETICA PARLAMENT./NORMAS DE CONDUCTA DEL CONGRESISTA","Propone modificar el articulo 4º del Capitulo II del Codigo de etica Parlamentaria, referido a las normas de conducta en el ejercicio del cargo parlamentario.","","","Se inhibe",2007-07-11,"Constitucion y Reglamento,Justicia y Derechos Humanos","SI",8,0,"2006-2011",-13.2857142857143
"12272","Multipartidario",2007-09-28,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1668,"Congreso","Alianza Parlamentaria","CODIGO:CIVIL 667O/EXCLUSION DE LA SUCESION POR INDIGNIDAD","Propone modificar el articulo 667º del Codigo Civil, Exclusion de la sucesion por indignidad.","","","En comision",2007-02-10,"Justicia y Derechos Humanos","SI",6,0,"2006-2011",-32.8571428571429
"12274","Multipartidario",2007-09-28,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1666,"Congreso","Alianza Parlamentaria","PAGINAS:WEB PORNOGRAFICO/PROHIBE ACCESO A MENORES DE EDAD A...","Propone modificar los articulos 1º y 2º de la Ley Nº 28119, Ley que prohibe el acceso a menores de edad a paginas web de contenido pornografico.","","","En comision",2007-02-10,"Defensa del Consumidor y Organismos Reguladores de los Servicios Publicos","SI",6,0,"2006-2011",-32.8571428571429
"12284","Partido Aprista Peruano",2007-09-27,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1656,"Congreso","PARTIDO APRISTA PERUANO","FONDO:GARANTIA ESTATAL FINANCIAMIENTO ESTUDIOS UNIVERSIT./CREA...","Propone crear el Fondo de Garantia Estatal para el financiamiento de estudios universitarios.","","","En comision",2007-02-10,"Presupuesto y Cuenta General de la Republica,Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes","SI",6,0,"2006-2011",-32.7142857142857
"12286","",2007-09-26,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1654,"Poder Ejecutivo","","AUTORIZACION:INGRESO DE UNIDADES NAVALES EXTRANJERAS","Propone autorizar el ingreso, al territorio nacional, de Unidades Navales Extranjeras y del Personal Militar senalados en la modificacion del Programa Anual de Actividades Operacionales del ano 2007 de la Marina de Guerra del Peru.","Resolucion Legislativa Nº: 29098","RESOLUCIoN LEGISLATIVA QUE AUTORIZA EL INGRESO DE UNIDADES NAVALES EXTRANJERAS AL TERRITORIO DE LA REPuBLICA, DE ACUERDO A LA MODIFICACIoN DEL PROGRAMA ANUAL DE ACTIVIDADES OPERACIONALES DEL AnO 2007 DE LA MARINA DE GUERRA DEL PERu","Publicado El Peruano",2007-07-10,"Defensa Nacional  Orden Interno  Desarrollo Alternativo y Lucha contra la Drogas","",NA,0,"2006-2011",-11.1428571428571
"12304","Alianza por el Futuro",2007-09-20,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1636,"Congreso","Grupo Fujimorista","RENIEC:L.26497/INCORPORA HUELLA DACTILAR DEL ADN DEL TITULAR EN DNI","Propone modificar el articulo 32º de la Ley Nº 26497, Ley Organica del Registro Nacional de Identificacion y Estado Civil - RENIEC, referente a incorporar, en el Documento Nacional de Identidad la huella dactilar del ADN del titular.","","","Orden del Dia",2007-06-12,"Constitucion y Reglamento","SI",6,0,"2006-2011",-14.2857142857143
"12311","Partido Aprista Peruano",2007-09-18,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1629,"Congreso","PARTIDO APRISTA PERUANO","FONCOMUN:DESTINAR EL 1% A IMPLEMENTACION BIBLIOTECAS PUBLICAS","Propone establecer la obligatoriedad de destinar no menos del 1% del FONCOMUN a la implementacion de bibliotecas publicas.","","","Archivo",2007-08-11,"Descentralizacion  Regionalizacion  Gobiernos Locales y Modernizacion de la Gestion del Estado","SI",6,0,"2006-2011",-5.42857142857143
"12320","Multipartidario",2007-09-13,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1620,"Congreso","Multipartidario","PENSIONES:DE GRACIA L.27747/OTORGAMIENTO DE LAS..","Propone modificar el articulo 2º de la Ley Nº 27747, referente a otorgar pension de gracia a las personas que hayan sido contagiadas con VIH/SIDA en los centro de salud y hospitales de la administracion publica.","","","Archivo",2007-07-11,"Salud  Poblacion  Familia y Personas con Discapacidad","SI",11,0,"2006-2011",-9.14285714285714
"12321","",2007-09-13,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1619,"Colegios Profesionales","","CODIGO:PROCESAL PENAL/PROCESO DE IMPLEMENTACION DEL NUEVO...","Propone modificar el articulo 4º de la Ley Nº 28671, Ley que modifica la entrada en vigencia del Codigo Procesal Penal y dicta normas complementarias para el proceso de implementacion del nuevo Codigo.","","","Archivo",2007-04-10,"Justicia y Derechos Humanos","",NA,0,"2006-2011",-22.2857142857143
"12323","Unidad Nacional",2007-09-13,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1617,"Congreso","Unidad Nacional","CONTRATACIONES:ADQUIS.D.S.083/RECURSOS IMPUGNATIVOS","Propone modificar el articulo 54º del D.S. Nº 083-2004-PCM, Texto unico Ordenado de la Ley de Contrataciones y Adquisiciones del Estado, Recursos Impugnatorios, asi como agregar el Titulo VII y el articulo 453º al Codigo Penal, Faltas contra la Administracion Publica.","","","Se inhibe",2007-05-12,"Fiscalizacion y Contraloria,Justicia y Derechos Humanos","SI",8,0,"2006-2011",-17.7142857142857
"12341","Multipartidario",2007-09-07,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1599,"Congreso","Multipartidario","TRIBUNAL:CONST./DESIGNACION INTEGRANTES COMO MIEMBROS DEL...","Resolucion Legislativa de designacion de los senores Gerardo Eto Cruz, Ernesto Julio alvarez Miranda y Fernando Alberto Calle Hayen como miembros del Tribunal Constitucional.","Resolucion Legislativa del Congreso Nº: 007-2007-CR","RESOLUCIoN LEGISLATIVA DEL CONGRESO DE DESIGNACION DE LOS MIEMBROS DEL TRIBUNAL CONSTITUCIONAL","Publicado El Peruano",2007-08-09,"","NO",2,0,"2006-2011",-4.14285714285714
"12363","Partido Aprista Peruano",2007-09-07,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1577,"Congreso","PARTIDO APRISTA PERUANO","CENTRO PREVENTORIO:ONCOLOGICO MUNICIPAL/CREA EL...","Propone crear el Centro Preventorio Oncologico Municipal.","","","Rechazado de Plano",2007-08-11,"Salud  Poblacion  Familia y Personas con Discapacidad,Descentralizacion  Regionalizacion  Gobiernos Locales y Modernizacion de la Gestion del Estado","SI",20,0,"2006-2011",-3.85714285714286
"12393","",2007-09-03,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1547,"Poder Ejecutivo","","DECRETO:URGENCIA 022-2006/MODIFICA ARTICULOS  1O Y 2O DEL...","Propone modificar los articulos 1º y 2º y derogar el segundo y tercer parrafo del articulo 4º del Decreto de Urgencia Nº 022-2006, que crea el Fondo de Inversion Social adscrito a la Presidencia del Consejo de Ministros.","","","En comision",2007-05-09,"Presupuesto y Cuenta General de la Republica","",NA,0,"2006-2011",-16.7142857142857
"12394","",2007-09-03,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1546,"Poder Ejecutivo","","EXPROPIACION: INMUEBLES/AFECTADOS POR EL SISMO 15 DE AGOS.2007","Ley que establece medidas para agilizar el procedimiento de expropiacion de los inmuebles afectados por la ejecucion de obras publicas en las localidades  afectadas por el sismo del 15 de agosto de 2007.","Ley Nº: 29095","ESTABLECE MEDIDAS EXCEPCIONALES PARA AGILIZAR EL PROCEDIMIENTO DE EXPROPIACIoN DE LOS INMUEBLES AFECTADOS POR LA EJECUCIoN DE OBRAS PuBLICAS EN LAS LOCALIDADES DECLARADAS EN EMERGENCIA A CONSECUENCIA DE LOS SISMOS DEL 15 DE AGOSTO DE 2007","Publicado El Peruano",2007-05-10,"Vivienda y Construccion","",NA,0,"2006-2011",-16.5714285714286
"12404","Multipartidario",2007-08-29,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1536,"Congreso","Alianza Parlamentaria","CODIGO:PENAL 236O/DELITOS COMETIDOS CASO DE DESATRES NATURALES","Propone modificar el articulo 236º del Codigo Penal, referente a incrementar las penas en delitos cometidos en caso de desastres naturales.","","","En comision",2007-06-09,"Justicia y Derechos Humanos","SI",7,0,"2006-2011",-11.5714285714286
"12410","Multipartidario",2007-08-27,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1530,"Congreso","Multipartidario","UCAYALI:EXCLUIR DE ALCANCES DE DEC.LEG. 977 Y 978 AL DPTO. DE....","Propone excluir de los alcances y contenidos de los Dec. Leg. Nos. 977 y 978 al departamento de Ucayali, restableciendose los beneficios y exoneraciones tributarias comprendidas en la Ley Nº 27037, Ley de Promocion de la Inversion en la amazonia.","","","Retirado",2007-03-09,"","SI",14,0,"2006-2011",-24.4285714285714
"12412","Union por el Peru",2007-08-27,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1528,"Congreso","Grupo Parlamentario Nacionalista","ESTADO:INCREMENTAR COBRANZA DE ACREENCIAS IMPAGAS A FAVOR DEL...","Propone crear y fortalecer mecanismos que permitan elevar la eficiencia en la cobranza de las acreencias impagas a favor de las entidades de la Administracion Publica Nacional, provenientes de relaciones juridicas de derecho publico.","","","En comision",2007-07-09,"Justicia y Derechos Humanos","NO",6,0,"2006-2011",-7
"12414","Partido Aprista Peruano",2007-08-23,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1526,"Congreso","PARTIDO APRISTA PERUANO","REGION:LA LIBERTAD/DECLARA NECESIDAD COMP.ARQ.HUACA DOS CABEZAS","Propone declarar de interes nacional la proteccion, conservacion y promocion del """"Complejo Arquelogico Huaca Dos Cabezas"""", ubicado en el distrito de Jequetepeque, provincia de Pacasmayo, Region Libertad.","","","En comision",2007-07-09,"Educacion  Ciencia  Tecnologia  Cultura  Patrimonio Cultural  Juventud y Deportes","SI",6,0,"2006-2011",-6.42857142857143
"12415","Grupo Parlamentario Nacionalista",2007-08-23,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1525,"Congreso","Grupo Parlamentario Nacionalista","CODIGO:PENAL 234O, 236O/ESPECULACION DE TRANSPORTE","Propone modificar los articulos 234º y 236º del Codigo Penal, referente a especulacion de pasajes e incrementando la pena para las personas que realicen especulacion, acaparamiento en caso de desastres naturales.","","","En comision",2007-07-09,"Justicia y Derechos Humanos","NO",6,32,"2006-2011",-6.42857142857143
"12418","Grupo Parlamentario Nacionalista",2007-08-22,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1522,"Congreso","Grupo Parlamentario Nacionalista","VASO:DE LECHE/ESTABLECE ADQUISICION DIRECTA PROD.DEL PROG.DE...","Propone autorizar a los Comites de Administracion del Programa del Vaso de Leche, a adquirir directamente productos alimenticios nacionales, a los pequenos productores locales individuales u organizados de su jurisdiccion.","","","En comision",2007-07-09,"Descentralizacion  Regionalizacion  Gobiernos Locales y Modernizacion de la Gestion del Estado","NO",6,0,"2006-2011",-6.28571428571429
"12423","Multipartidario",2007-08-22,"Periodo de Gobierno 2006- 2011","Primera Legislatura Ordinaria 2007",1517,"Congreso","Grupo Parlamentario Nacionalista","CODIGO:PENAL 234O-A,236O,283O-A/DELITOS EN EPOCA DE CONMOCION PUB.","Propone incorporar los articulos 234º-A y 283º-A y modificar el articulo 236º del Codigo Penal,  referente a los delitos contra el orden economico, como acaparamiento, especulacion y adulteracion.","","","En comision",2007-07-09,"Justicia y Derechos Humanos","NO",12,0,"2006-2011",-6.28571428571429
